Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Wu, Junchao; Yang, Shu; Zhan, Runzhe; Yuan, Yulin; Chao, Lidia Sam; Wong, Derek Fai; ","A survey on LLM-generated text detection: Necessity, methods, and future directions",Computational Linguistics,,,1-66,2025,"MIT Press 255 Main Street, 9th Floor, Cambridge, Massachusetts 02142, USA …"
"Usman, Yusuf; Upadhyay, Aadesh; Gyawali, Prashnna; Chataut, Robin; ",Is generative ai the next tactical cyber weapon for threat actors? unforeseen implications of ai generated cyber attacks,arXiv preprint arXiv:2408.12806,,,,2024,
"Naik, Dishita; Naik, Ishita; Naik, Nitin; ","The AI Engine of Creation: Exploring the Capabilities of AI Chatbots based on Generative AI, Large Language Models and Large Multimodal Models",Authorea Preprints,,,,2024,Authorea
"Ohm, Paul; ",Focusing on Fine-Tuning: Understanding the Four Pathways for Shaping Generative AI,Science and Technology Law Review,25,2,,2024,
"Hagendorff, Thilo; ",Mapping the ethics of generative ai: A comprehensive scoping review,Minds and Machines,34,4,39,2024,Springer
"Cooper, A Feder; Lee, Katherine; Grimmelmann, James; Ippolito, Daphne; Callison-Burch, Christopher; Choquette-Choo, Christopher A; Mireshghallah, Niloofar; Brundage, Miles; Mimno, David; Choksi, Madiha Zahrah; ",Report of the 1st Workshop on Generative AI and Law,arXiv preprint arXiv:2311.06477,,,,2023,
"Ahmad, Baleegh; Thakur, Shailja; Tan, Benjamin; Karri, Ramesh; Pearce, Hammond; ",On hardware security bug code fixes by prompting large language models,IEEE Transactions on Information Forensics and Security,,,,2024,IEEE
"Arawjo, Ian; Swoopes, Chelse; Vaithilingam, Priyan; Wattenberg, Martin; Glassman, Elena L; ",Chainforge: A visual toolkit for prompt engineering and llm hypothesis testing,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,,1-18,2024,
"Sarabi, Armin; Yin, Tongxin; Liu, Mingyan; ",An llm-based framework for fingerprinting internet-connected devices,Proceedings of the 2023 ACM on Internet Measurement Conference,,,478-484,2023,
"Li, Raymond; Allal, Loubna Ben; Zi, Yangtian; Muennighoff, Niklas; Kocetkov, Denis; Mou, Chenghao; Marone, Marc; Akiki, Christopher; Li, Jia; Chim, Jenny; ",Starcoder: may the source be with you!,arXiv preprint arXiv:2305.06161,,,,2023,
"Weisz, Justin D; He, Jessica; Muller, Michael; Hoefer, Gabriela; Miles, Rachel; Geyer, Werner; ",Design principles for generative AI applications,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,,1-22,2024,
"Wang, Bohao; Liu, Feng; Zhang, Changwang; Chen, Jiawei; Wu, Yudi; Zhou, Sheng; Lou, Xingyu; Wang, Jun; Feng, Yan; Chen, Chun; ",Llm4dsr: Leveraing large language model for denoising sequential recommendation,arXiv preprint arXiv:2408.08208,,,,2024,
"Muller, Michael J; Wang, April Yi; Ross, Steven I; Weisz, Justin D; Agarwal, Mayank; Talamadupula, Kartik; Houde, Stephanie; Martinez, Fernando; Richards, John T; Drozdal, Jaimie; ",How Data Scientists Improve Generated Code Documentation in Jupyter Notebooks.,IUI Workshops,,,,2021,
"Wickramarachchi, Anuradha; Tonni, Shakila; Majumdar, Sonali; Karimi, Sarvnaz; Kõks, Sulev; Hosking, Brendan; Rambla, Jordi; Twine, Natalie A; Jain, Yatish; Bauer, Denis C; ",AskBeacon—performing genomic data exchange and analytics with natural language,Bioinformatics,41,3,btaf079,2025,Oxford University Press
"Pearce, Hammond; Tan, Benjamin; Krishnamurthy, Prashanth; Khorrami, Farshad; Karri, Ramesh; Dolan-Gavitt, Brendan; ",Pop quiz! can a large language model help with reverse engineering?,arXiv preprint arXiv:2202.01142,,,,2022,
"Ghimire, Prashnna; Kim, Kyungki; Acharya, Manoj; ",Generative ai in the construction industry: Opportunities & challenges,arXiv preprint arXiv:2310.04427,,,,2023,
"Cevallos, Adrian; Latorre, Lucia; Alicandro, Gianfranco; Wanner, Z’leste; Cerrato, Ignacio; Zarate, Jose Daniel; Alvarez, Juana; Villacreses, Karla; Pfeifer, Maria; Gutierrez, Mariana; ",Tech Report: Generative AI,,,,,2023,Inter-American Development Bank
"Wang, Shangwen; Lin, Bo; Sun, Zhensu; Wen, Ming; Liu, Yepang; Lei, Yan; Mao, Xiaoguang; ",Two birds with one stone: Boosting code generation and code search via a generative adversarial network,Proceedings of the ACM on Programming Languages,7,OOPSLA2,486-515,2023,"ACM New York, NY, USA"
"Vaithilingam, Priyan; Zhang, Tianyi; Glassman, Elena L; ",Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,Chi conference on human factors in computing systems extended abstracts,,,1-7,2022,
"Wen, Hao; Li, Yuanchun; Liu, Guohong; Zhao, Shanhui; Yu, Tao; Li, Toby Jia-Jun; Jiang, Shiqi; Liu, Yunhao; Zhang, Yaqin; Liu, Yunxin; ",Autodroid: Llm-powered task automation in android,Proceedings of the 30th Annual International Conference on Mobile Computing and Networking,,,543-557,2024,
"Seo, HyungBin; Yoon, MyungKeun; ",Generative intrusion detection and prevention on data stream,32nd USENIX Security Symposium (USENIX Security 23),,,4319-4335,2023,
"Horne, Robert I; Murtada, Mhd Hussein; Huo, Donghui; Brotzakis, Z Faidon; Gregory, Rebecca C; Possenti, Andrea; Chia, Sean; Vendruscolo, Michele; ",Exploration and exploitation approaches based on generative machine learning to identify potent small molecule inhibitors of α-synuclein secondary nucleation,Journal of chemical theory and computation,19,14,4701-4710,2023,ACS Publications
"Li, Minghan; Chen, Xilun; Holtzman, Ari; Chen, Beidi; Lin, Jimmy; Yih, Scott; Lin, Victoria; ",Nearest neighbor speculative decoding for llm generation and attribution,Advances in Neural Information Processing Systems,37,,80987-81015,2024,
"Holmes, Wayne; Miao, Fengchun; ",Guidance for generative AI in education and research,,,,,2023,UNESCO Publishing
